title,telecommuting,has_company_logo,has_questions,employment_type,fraudulent,in_balanced_dataset,country,industry_group,edu_level
Marketing Intern,0,1,0,Unknown,0,0,US,Unknown,Unknown
Customer Service - Cloud Video Production,0,1,0,Full-time,0,0,NZ,Corporate_Services,Unknown
Commissioning Machinery Assistant (CMA),0,1,0,Unknown,0,0,US,Unknown,Unknown
Account Executive - Washington DC,0,1,0,Full-time,0,0,US,Tech,Bachelor
Bill Review Manager,0,1,1,Full-time,0,0,US,Health_Science,Bachelor
Accounting Clerk,0,0,0,Unknown,0,0,US,Unknown,Unknown
Head of Content (m/f),0,1,1,Full-time,0,0,DE,Media_Entertainment,Master/PhD
Lead Guest Service Specialist,0,1,1,Unknown,0,0,US,Unknown,Unknown
HP BSM SME,0,1,1,Full-time,0,0,US,Tech,Unknown
Customer Service Associate - Part Time,0,1,0,Part-time,0,0,US,Finance,High School
"ASP.net Developer Job opportunity at United States,New Jersey",0,0,0,Full-time,0,0,US,Tech,Bachelor
Talent Sourcer (6 months fixed-term contract),0,1,0,Unknown,0,0,GB,Unknown,Unknown
"Applications Developer, Digital ",0,1,0,Full-time,0,0,US,Corporate_Services,Bachelor
Installers,0,1,1,Full-time,0,0,US,Unknown,Unknown
Account Executive - Sydney,0,1,0,Full-time,0,0,AU,Tech,Bachelor
VP of Sales - Vault Dragon,0,1,1,Full-time,0,0,SG,Unknown,Bachelor
Hands-On QA Leader,0,1,0,Full-time,0,0,IL,Tech,Unknown
Southend-on-Sea Traineeships Under NAS 16-18 Year Olds Only,0,1,1,Unknown,0,0,GB,Unknown,Unknown
Visual Designer,0,1,0,Unknown,0,0,US,Unknown,Unknown
Process Controls Engineer - DCS PLC MS Office - PA,0,0,0,Full-time,0,0,US,Unknown,Unknown
Marketing Assistant,0,1,0,Unknown,0,0,US,Unknown,Unknown
Front End Developer,0,1,0,Full-time,0,0,NZ,Consumer_Retail,Master/PhD
Engagement Manager,0,1,1,Full-time,0,0,AE,Unknown,Bachelor
"Vice President, Sales and Sponsorship (Businessfriend.com)",0,1,0,Full-time,0,0,US,Tech,Unknown
Customer Service,0,0,0,Unknown,0,0,GB,Unknown,Unknown
H1B SPONSOR FOR L1/L2/OPT,0,1,1,Unknown,0,0,US,Unknown,Unknown
Marketing Exec,0,1,0,Full-time,0,0,SG,Media_Entertainment,Unknown
HAAD/DHA Licensed Doctors Opening in UAE,0,1,0,Full-time,0,0,AE,Health_Science,Master/PhD
Talent Management Process Manager,0,0,0,Full-time,0,0,US,Corporate_Services,Unknown
Customer Service Associate,0,1,0,Full-time,0,0,CA,Consumer_Retail,High School
Customer Service Technical Specialist,0,1,0,Full-time,0,0,US,Tech,High School
Software Applications Specialist,0,1,0,Full-time,0,0,US,Tech,Unknown
Craftsman Associate,0,1,1,Full-time,0,0,US,Industrial_Energy,Unknown
Completion Engineer,0,1,1,Full-time,0,0,US,Industrial_Energy,Bachelor
I Want To Work At Karmarama,0,1,1,Full-time,0,0,GB,Corporate_Services,Unknown
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Graduates: English Teacher Abroad,0,1,0,Contract,0,0,US,Education,Bachelor
PROJECT MANAGER,0,0,0,Full-time,0,0,US,Industrial_Energy,Bachelor
Art Director,0,1,1,Full-time,0,0,IN,Tech,Unknown
Receptionist/Customer Service Technical Specialist,0,1,0,Full-time,0,0,US,Finance,High School
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
English Teacher Abroad,0,1,1,Contract,0,0,US,Education,Bachelor
Jr. Developer,0,0,0,Full-time,0,0,US,Tech,Bachelor
Customer Service Associate Receptionist,0,1,0,Full-time,0,0,US,Consumer_Retail,High School
Customer Service Team Lead,0,1,0,Full-time,0,0,US,Tech,High School
Inside Sales Professional-Omaha,0,1,0,Full-time,0,0,US,Unknown,Unknown
Entry Level,0,0,0,Full-time,0,0,EG,Finance,Bachelor
